2018-11-06 00:00:00
115th Congress
116th Congress
116th United States Congress
2018 Florida House of Representatives election
2018 Florida Senate election
2018 Florida elections
2018 Florida gubernatorial election
2018 Fort Lauderdale mayoral election
2018 Franklin, Virginia mayoral election
2018 Georgia Attorney General election
2018 Georgia House of Representatives election
2018 Georgia State Senate election
2018 Georgia gubernatorial election
2018 Georgia lieutenant gubernatorial election
2018 Georgia state elections
2018 Guam Attorney General election
2018 Guam gubernatorial election
2018 Guamanian general election
2018 Guamanian gubernatorial election
2018 Hawaii House of Representatives election
2018 Hawaii Senate election
2018 Hawaii elections
2018 Hawaii gubernatorial election
2018 Idaho Attorney General election
2018 Idaho elections
2018 Idaho gubernatorial election
2018 Illinois Attorney General election
2018 Illinois House of Representatives election
2018 Illinois Senate election
2018 Illinois elections
2018 Illinois gubernatorial election
2018 Indiana State Senate election
2018 Indiana elections
2018 Iowa Attorney General election
2018 Iowa House of Representatives election
2018 Iowa Senate election
2018 Iowa elections
2018 Iowa gubernatorial election
2018 Irvine mayoral election
2018 Kansas Attorney General election
2018 Kansas elections
2018 Kansas gubernatorial election
2018 Kentucky elections
2018 Laredo mayoral election
2018 Lexington, Kentucky mayoral election
2018 Little Rock mayoral election
2018 Long Beach, California mayoral election
2018 Los Angeles County Board of Supervisors election
2018 Louisiana elections
2018 Louisville mayoral election
2018 Lubbock mayoral election
2018 Maine House of Representatives election
2018 Maine State Senate election
2018 Maine elections
2018 Maine gubernatorial election
2018 Maryland Attorney General election
2018 Maryland House of Delegates election
2018 Maryland Senate election
2018 Maryland elections
2018 Maryland gubernatorial election
2018 Massachusetts Attorney General election
2018 Massachusetts Senate election
2018 Massachusetts general election
2018 Massachusetts gubernatorial election
2018 Michigan's 13th congressional district special election
2018 Michigan Attorney General election
2018 Michigan House of Representatives election
2018 Michigan Senate election
2018 Michigan elections
2018 Michigan gubernatorial election
2018 Minnesota Attorney General election
2018 Minnesota House of Representatives election
2018 Minnesota elections
2018 Minnesota gubernatorial election
2018 Mississippi elections
2018 Missouri elections
2018 Montana House of Representatives election
2018 Montana Senate election
2018 Montana elections
2018 Municipality of Anchorage, Alaska, Proposition 1
2018 Nashville mayoral special election
2018 Navajo Nation presidential election
2018 Nebraska State Legislature election
2018 Nebraska elections
2018 Nebraska gubernatorial election
2018 Nevada Attorney General election
2018 Nevada Senate election
2018 Nevada elections
2018 Nevada gubernatorial election
2018 New Hampshire House of Representatives election
2018 New Hampshire Senate election
2018 New Hampshire elections
2018 New Hampshire gubernatorial election
2018 New Jersey elections
2018 New Mexico Attorney General election
2018 New Mexico House of Representatives election
2018 New Mexico elections
2018 New Mexico gubernatorial election
2018 New York's 14th congressional district election
2018 New York's 25th congressional district special election
2018 New York Attorney General election
2018 New York State Assembly election
2018 New York State Senate election
2018 New York gubernatorial election
2018 New York state elections
2018 Newark mayoral election
2018 Newport News mayoral election
2018 North Carolina's 9th congressional district election
2018 North Carolina House of Representatives election
2018 North Carolina Senate election
2018 North Carolina elections
2018 North Dakota Attorney General election
2018 North Dakota elections
2018 Northern Mariana Islands general election
2018 Northern Mariana Islands gubernatorial election
2018 Oakland mayoral election
2018 Ohio's 12th congressional district special election
2018 Ohio Attorney General election
2018 Ohio House of Representatives election
2018 Ohio Senate election
2018 Ohio elections
2018 Ohio gubernatorial election
2018 Oklahoma Attorney General election
2018 Oklahoma City mayoral election
2018 Oklahoma gubernatorial election
2018 Oklahoma state elections
2018 Orange County Board of Supervisors election
2018 Oregon gubernatorial election
2018 Oregon legislative election
2018 Oregon state elections
2018 Pennsylvania's 18th congressional district special election
2018 Pennsylvania's 7th and 15th congressional district special elections
2018 Pennsylvania House of Representatives election
2018 Pennsylvania Senate election
2018 Pennsylvania elections
2018 Pennsylvania gubernatorial election
2018 Providence, Rhode Island mayoral election
2018 Radford, Virginia mayoral election
2018 Reno mayoral election
2018 Rhode Island Attorney General election
2018 Rhode Island elections
2018 Rhode Island gubernatorial election
2018 Russia–United States summit
2018 San Bernardino mayoral election
2018 San Diego City Council election
2018 San Francisco Board of Supervisors election
2018 San Francisco mayoral special election
2018 San Jose mayoral election
2018 South Carolina Attorney General election
2018 South Carolina House of Representatives election
2018 South Carolina elections
2018 South Carolina gubernatorial election
2018 South Dakota Attorney General election
2018 South Dakota elections
2018 South Dakota gubernatorial election
2018 Tallahassee mayoral election
2018 Tennessee elections
2018 Tennessee gubernatorial election
2018 Texas's 27th congressional district special election
2018 Texas Attorney General election
2018 Texas House of Representatives election
2018 Texas State Senate election
2018 Texas elections
2018 Texas gubernatorial election
2018 U.S. Virgin Islands elections
2018 United States House of Representatives election in Alaska
2018 United States House of Representatives election in American Samoa
2018 United States House of Representatives election in Delaware
2018 United States House of Representatives election in Guam
2018 United States House of Representatives election in Montana
2018 United States House of Representatives election in North Dakota
2018 United States House of Representatives election in Northern Mariana Islands
2018 United States House of Representatives election in South Dakota
2018 United States House of Representatives election in United States Virgin Islands
2018 United States House of Representatives election in Vermont
2018 United States House of Representatives election in Wyoming
2018 United States House of Representatives election in the District of Columbia
2018 United States House of Representatives election ratings
2018 United States House of Representatives elections
2018 United States House of Representatives elections in Alabama
2018 United States House of Representatives elections in Arizona
2018 United States House of Representatives elections in Arkansas
2018 United States House of Representatives elections in California
2018 United States House of Representatives elections in Colorado
2018 United States House of Representatives elections in Connecticut
2018 United States House of Representatives elections in Florida
2018 United States House of Representatives elections in Georgia
2018 United States House of Representatives elections in Hawaii
2018 United States House of Representatives elections in Idaho
2018 United States House of Representatives elections in Illinois
2018 United States House of Representatives elections in Indiana
2018 United States House of Representatives elections in Iowa
2018 United States House of Representatives elections in Kansas
2018 United States House of Representatives elections in Kentucky
2018 United States House of Representatives elections in Louisiana
2018 United States House of Representatives elections in Maine
2018 United States House of Representatives elections in Maryland
2018 United States House of Representatives elections in Massachusetts
2018 United States House of Representatives elections in Michigan
2018 United States House of Representatives elections in Minnesota
2018 United States House of Representatives elections in Mississippi
2018 United States House of Representatives elections in Missouri
2018 United States House of Representatives elections in Nebraska
2018 United States House of Representatives elections in Nevada
2018 United States House of Representatives elections in New Hampshire
2018 United States House of Representatives elections in New Jersey
2018 United States House of Representatives elections in New Mexico
2018 United States House of Representatives elections in New York
2018 United States House of Representatives elections in North Carolina
2018 United States House of Representatives elections in Ohio
2018 United States House of Representatives elections in Oklahoma
2018 United States House of Representatives elections in Oregon
2018 United States House of Representatives elections in Pennsylvania
2018 United States House of Representatives elections in Rhode Island
2018 United States House of Representatives elections in South Carolina
2018 United States House of Representatives elections in Tennessee
2018 United States House of Representatives elections in Texas
2018 United States House of Representatives elections in Utah
2018 United States House of Representatives elections in Virginia
2018 United States House of Representatives elections in Washington
2018 United States House of Representatives elections in West Virginia
2018 United States House of Representatives elections in Wisconsin
2018 United States Senate election in Arizona
2018 United States Senate election in California
2018 United States Senate election in Connecticut
2018 United States Senate election in Delaware
2018 United States Senate election in Florida
2018 United States Senate election in Hawaii
2018 United States Senate election in Indiana
2018 United States Senate election in Maine
2018 United States Senate election in Maryland
2018 United States Senate election in Massachusetts
2018 United States Senate election in Michigan
2018 United States Senate election in Minnesota
2018 United States Senate election in Mississippi
2018 United States Senate election in Missouri
2018 United States Senate election in Montana
2018 United States Senate election in Nebraska
2018 United States Senate election in Nevada
2018 United States Senate election in New Jersey
2018 United States Senate election in New Mexico
2018 United States Senate election in New York
2018 United States Senate election in North Dakota
2018 United States Senate election in Ohio
2018 United States Senate election in Pennsylvania
2018 United States Senate election in Rhode Island
2018 United States Senate election in Tennessee
2018 United States Senate election in Texas
2018 United States Senate election in Utah
2018 United States Senate election in Vermont
2018 United States Senate election in Virginia
2018 United States Senate election in Washington
2018 United States Senate election in West Virginia
2018 United States Senate election in Wisconsin
2018 United States Senate election in Wyoming
2018 United States Senate elections
2018 United States Senate special election in Minnesota
2018 United States Senate special election in Mississippi
2018 United States Shadow Representative election in the District of Columbia
2018 United States Shadow Senator election in the District of Columbia
2018 United States Virgin Islands gubernatorial election
2018 United States attorney general elections
2018 United States gubernatorial elections
2018 United States state legislative elections
2018 Utah House of Representatives election
2018 Utah Senate election
2018 Utah elections
2018 Vermont Attorney General election
2018 Vermont House of Representatives election
2018 Vermont Senate election
2018 Vermont elections
2018 Vermont gubernatorial election
2018 Virginia's 10th congressional district election
2018 Virginia Beach mayoral special election
2018 Virginia elections
2018 Washington, D.C., mayoral election
2018 Washington House of Representatives election
2018 Washington State Senate election
2018 Washington elections
2018 West Virginia Senate election
2018 West Virginia elections
2018 Wisconsin Attorney General election
2018 Wisconsin State Assembly election
2018 Wisconsin State Senate election
2018 Wisconsin elections
2018 Wisconsin gubernatorial election
2018 Wyoming House of Representatives election
2018 Wyoming State Senate election
2018 Wyoming elections
2018 Wyoming gubernatorial election
2018–19 Phoenix mayoral special election
2018–2019 Phoenix mayoral special election
2019 North Carolina's 9th congressional district special election
2019 Speaker of the United States House of Representatives election
2019 United States elections
2020 United States Census
2020 United States Senate elections
2020 United States elections
2021 United States elections
2022 United States Senate elections
2022 United States elections
2022 United States redistricting
2023 United States elections
2024 United States Senate elections
2024 United States elections
2025 United States elections
99th United States Congress
ABC News
Affordable Care Act
African-American
Alabama
Alaska
Alaska House of Representatives
Alexandria Ocasio-Cortez
American Broadcasting Company
American Ethane Company
American Health Care Act of 2017
American Samoa
Anaheim, California
Anchorage, Alaska
Andrew Gillum
Angus King
Approval voting
Arizona
Arizona's 8th congressional district
Arizona Superintendent of Public Instruction
Arkansas
Associated Press
Austin, Texas
Ayanna Pressley
BBC News
Bathroom bill
Bernie Sanders
Bicameral
Bill Nelson
Bladen County, North Carolina
Blake Farenthold
Bloomberg News
Brad Little (politician)
Brenda Jones (politician)
Brenda Snipes
Brian Kemp
Bryce Edgmon
Business Insider
BuzzFeed News
By-election
CBS
CNBC
CNN
California
Cannabis (drug)
Center for American Women and Politics
Chandler, Arizona
Charlie Dent
Chesapeake, Virginia
China
Chris Beutler
Chris Cillizza
Christine Hallquist
Christopher A. Wray
Chuck Schumer
Chula Vista, California
Claire McCaskill
Classes of United States Senators
Colorado
Colorado Senate
Coming out
Connecticut
Connecticut Senate
Conor Lamb
Cook PVI
Corpus Christi, Texas
Council of the District of Columbia
Cyberwarfare by China
Dan Bishop
Dan Coats
Dan McCready
Dan Pope
David Briley
David Holt (politician)
Deb Haaland
Debbie Lesko
Delaware
Delegate (United States Congress)
Democratic Party (United States)
District of Columbia
Doi (identifier)
Donald P. Wagner
Donald Trump
Donald Trump 2020 presidential campaign
Dougherty County, Georgia
Early voting
Ed Lee (politician)
Efforts to repeal the Affordable Care Act
Elections in the United States
Ellen Weintraub
Ethan Berkowitz
Fargo, North Dakota
Federal Election Commission
Felon disenfranchisement in Florida
Felony disenfranchisement
Filibuster in the United States Senate
Financial Times
FiveThirtyEight
Florida
Florida Amendment 4 (2018)
Florida Commissioner of Agriculture
Forbes
Fort Apache Indian Reservation
Fort Smith, Arkansas
Fox News
Frank Scott Jr.
Franklin Garcia
Garland, Texas
Geoffrey Standing Bear
George McGill (Arkansas politician)
Georgia (U.S. state)
Glenn Kessler (journalist)
Government trifecta
Governor (United States)
Governor of Colorado
Governor of New Jersey
Greg Fischer
Gregorio Sablan
Guam
Harry Sidhu
Hawaii
Hillary Clinton
Hillary Schieve
Houma people
Huffington Post
Hurricane Michael
ISSN (identifier)
Idaho
Ilhan Omar
Illinois
Illinois Democratic Party
Inauguration of Donald Trump
Incumbency advantage
Indiana
Initiative
Initiative 77
Instant-runoff voting
Iowa
Iowa Democratic Party
Iowa State Auditor
Irvine, California
Jared Polis
Jeanne Shaheen
Jeff Zeleny
Jenniffer González
Jeremy Diamond (journalist)
Jim McGreevey
Joe McComb
John Conyers
Jonathan Nez
Jorge Elorza
Joseph Morelle
Julian Bear Runner
Kansas
Kansas Senate
Kate Brown
Kentucky
Kyrsten Sinema
LGBT
Lane County, Oregon
Laredo, Texas
Legislative Assembly of Puerto Rico
Lexington, Kentucky
Libby Schaaf
Lincoln, Nebraska
Lindsay Walters
List of U.S. statewide elected officials
Little Rock, Arkansas
Lolo Matalasi Moliga
London Breed
Long Beach, California
Los Angeles Times
Louise Slaughter
Louisiana
Louisville, Kentucky
Lubbock, Texas
Lumbee
MSNBC
Maine
Maine Senate
Maine State Treasurer
Maricopa County, Arizona
Mark Harris (North Carolina politician)
Martha McSally
Mary Gay Scanlon
Mary Salas
Maryland
Massachusetts
Mayor of Washington, D.C.
Mayor of the District of Columbia
Medicaid
Megan Barry
Mexico–United States barrier
Michael Cloud
Michael Donald Brown
Michigan
Michigan's 13th congressional district
Midwestern United States
Migrant caravan
Mike Madigan
Mike Pence
Mike Pompeo
Minimum wage
Minnesota
Minnesota House of Representatives
Minnesota Senate
Mississippi
Missouri
Mitch McConnell
Modern liberalism in the United States
Montana
Mother Jones (magazine)
Multicameral
Muriel Bowser
Muslim
NBC
NBC News
NPR
Nancy Pelosi
Nashville
Nate Silver
National Conference of State Legislatures
National Republican Congressional Committee
Native Americans in the United States
Nebraska
Nebraska legislature
Nevada
New Hampshire
New Hampshire House of Representatives
New Hampshire Senate
New Hampshire State Senate
New Jersey
New Mexico
New Mexico Senate
New Progressive Party (Puerto Rico)
New York's 25th congressional district
New York (state)
New York State Senate
Newark mayoral election, 2018
Non-partisan democracy
Non-voting members of the United States House of Representatives
North Carolina
North Dakota
Northeastern United States
Northern Cheyenne Indian Reservation
Northern Mariana Islands
Northern Mariana Islands gubernatorial election, 2018
Oakland, California
Ohio
Ohio's 12th congressional district
Oklahoma
Oklahoma City
Oregon
Osage Nation
Pat Meehan
Pat Tiberi
Patient Protection and Affordable Care Act
Patrick Leahy
Paul Ryan
Paulette Jordan
Pennsylvania
Pennsylvania's 15th congressional district
Pennsylvania's 18th congressional district
Pennsylvania's 7th congressional district
Penobscot Nation
Pete Saenz
Phil Scott (politician)
Pima County, Arizona
Pine Ridge Indian Reservation
Political divisions of the United States
Political party strength in U.S. states
Politico
Presidency of Donald Trump
Providence, Rhode Island
Puerto Rico
Quapaw
R. Carey Davis
Ras J. Baraka
Rashida Tlaib
Red states and blue states
Redistricting commission
Reed Gusciora
Reno, Nevada
Republican Party (United States)
Resident Commissioner of Puerto Rico
Rhode Island
Ricardo Rosselló
Rick Scott
Road Repair and Accountability Act
Robert Garcia (California politician)
Robert Schlesinger
Ron DeSantis
Rosebud Indian Reservation
Russian interference in the 2018 United States elections
S2CID (identifier)
SSRN (identifier)
STAR voting
Sam Liccardo
San Bernardino, California
San Carlos Apache Indian Reservation
San Francisco
San Jose, California
Santa Ana, California
Secretary of state (U.S. state government)
Shadow congressperson
Shana M. Broussard
Sharice Davids
South Carolina
South Carolina Senate
South Dakota
Stacey Abrams
Staggered elections
State attorney general
State auditor
State legislature (United States)
State treasurer
Statehood movement in the District of Columbia
Steny Hoyer
Steve Adler (lawyer)
Subpoena
Susan Collins
Susan Wild
Swing state
Tampa Bay Times
Tax Cuts and Jobs Act of 2017
Tennessee
Territories of the United States
Texas
Texas's 27th congressional district
The Daily Beast
The Guardian
The Hill (newspaper)
The New York Times
The Pew Charitable Trusts
The Wall Street Journal
The Washington Post
Tim Murphy (American politician)
Time (magazine)
Tipped minimum wage
Trent Franks
Trenton, New Jersey
Troy Balderson
Troy Price
Trump tariff
Trump tariffs
Tunica-Biloxi
Typhoon Yutu
U.S. News & World Report
U.S. state
U.S. states
USA Today
Unicameral
Unicameralism
United States House of Representatives
United States House of Representatives elections, 2016
United States House of Representatives elections, 2018
United States Intelligence Community
United States Secretary of State
United States Senate elections, 2016
United States Senate elections, 2018
United States Space Force
United States Virgin Islands
United States congressional committee
United States elections, 1914
United States elections, 1974
United States elections, 2010
United States elections, 2014
United States gubernatorial elections, 2018
United States insular area
United States midterm election
Utah
Vaping
Vermont
Virginia
Virginia Beach, Virginia
Vladimir Putin
Voice of America
Voter ID laws in the United States
Voter suppression in the United States
Voter turnout
Vox (website)
Washington, D.C.
Washington, D.C. mayoral election, 2018
Washington (state)
Wave elections in the United States
West Virginia
Wisconsin
Women in the United States Senate
Wyoming
Yurok Indian Reservation
